NewQuestion,MC,,,
Title,,,,
QuestionText,"Why do you need to specifically eject a flash drive before removing it from the computer?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"To make sure there are no viruses being transferred to the flash drive.",,"Viruses don't play a direct part here."
Option,100.00,"To flush the memory buffer between the computer and the flash drive.",,"Correct!"
Option,0.00,"To flush the memory buffer on the flash drive so no data is lost on the computer.",,"The memory buffer is on the main system or the computer, not the flash drive."
Option,0.00,"To calculate how big the finished file will be on the flash drive.",,"This is done automatically by the operating system as the file is read onto the flash drive."
NewQuestion,MC,,,
Title,,,,
QuestionText,"Flash drives are considered to be ____________________.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"multi media",,"multi media would be videos, animations, and audio files. These could be stored on a flash drive but the flash drive itself is not considered to be multi media."
Option,100.00,"external media",,"Correct. Any external storage device such as hard disks, flash drives, or USB connections to cameras are all considered multi media."
Option,0.00,"mobile devices",,"mobile devices are cell phones or tablet computers."
Option,0.00,"always connected to the system",,"Nope. The beauty of a flash drive is that it can easily be disconnected from the system and carried around."
Option,0.00,"meta data",,"meta data is data about data. The structure of a file would be meta data about that file."
NewQuestion,MC,,,
Title,,,,
QuestionText,"A buffer is ______________.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"like a car that carries people all different places.",,
Option,0.00,"like a sponge that holds information instead of water. When it becomes full the extra water (or information) runs off.",,
Option,100.00,"like a glass of water that is emptied automatically as soon as the water reaches a certain level. ",,
Option,0.00,"like a traffic cop who tells which car can go at what time.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"When using a flash drive or other external media data is stored in a buffer. As soon as the buffer becomes full the data is __________________.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"flushed out of the buffer",,
Option,0.00,"written back to the computer",,
Option,0.00,"erased from the computer but saved in the buffer",,
Option,100.00,"written to the flash drive and then then buffer is emptied, waiting for more data to build up.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"If you don't eject a flash drive properly _____________.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"You may lose the information on your computer.",,"The data remains on your computer. It is the data in the buffer that could be lost before it is written to the flash drive."
Option,100.00,"There may still be data in the buffer which hasn't been transferred to the flash drive and it will be lost.",,
Option,0.00,"Everything on the flash drive could be deleted.",,"No, only the information in the temporary buffer."
Option,0.00,"Specific information that you just typed would be lost from your computer and your flash drive. It is not a pretty sight.",,"No, only the information in the temporary buffer."
NewQuestion,TF,,,
Title,,,,
QuestionText,"On a Mac you don't have to eject a flash drive, just external hard drives.",,,
Points,1,,,
Difficulty,1,,,
TRUE,0,"All external media must be ejected properly to move the data from the temporary buffer onto the external device. A flash drive like an external hard drive is considered external media.",,
FALSE,100,"",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"When using Windows 8 you don't have to eject a flash drive, just external hard drives.",,,
Points,1,,,
Difficulty,1,,,
TRUE,0,"All external media must be ejected properly to move the data from the temporary buffer onto the external device. A flash drive like an external hard drive is considered external media. ",,
FALSE,100,"",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"When using Windows 7 you don't have to eject an external hard disk, just flash drives.",,,
Points,1,,,
Difficulty,1,,,
TRUE,0,"All external media must be ejected properly to move the data from the temporary buffer onto the external device. A flash drive like an external hard drive is considered external media. ",,
FALSE,100,"",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"When creating new folders in Windows where can you right-mouse click to get the "new/folder" option?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"On the menu bar when the mouse is over the File option.",,
Option,0.00,"On any folder or device in the left panel.",,
Option,0.00,"Simply click on any file or folder icon.",,
Option,0.00,"Position the cursor on the text of a file or folder name.",,
Option,100.00,"On the blank background area of the file listing panel of File Manager.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"A quick way to change to a different program that is running on your computer is to use ____________. Hold the first key down and then tap on the second key to rotate through all the programs icons.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"COMMAND-TAB on the Mac or ALT-TAB on Windows",,
Option,0.00,"COMMAND-F1 on the Mac or CONTROL-TAB on Windows.",,
Option,0.00,"COMMAND F12 on a Mac or ALT-F12 on Windows.",,
Option,0.00,"FN-TAB on the Mac or WINDOWS-TAB on Windows.",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: Windows Explorer is the same thing as Internet Explorer (IE).",,,
Points,1,,,
Difficulty,1,,,
TRUE,0,"Windows Explorer is the file management program for Windows 7. Internet Explorer (IE) is a browser used for viewing web pages.",,
FALSE,100,"",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: Windows Explorer is very similar as File Explorer. Just different versions.",,,
Points,1,,,
Difficulty,1,,,
TRUE,100,"",,
FALSE,0,"Windows Explorer is the file management tool for Windows 7 and earlier versions of Windows. In Windows 8 they renamed it to File Explorer.",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: File Explorer is designed to accomplish the same thing as Finder on the Mac.",,,
Points,1,,,
Difficulty,1,,,
TRUE,100,"",,
FALSE,0,"File Explorer, Windows Explorer, and Finder on the Mac are all used to help you manage the files and folders on your system.",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: Finder is used for the same task as Internet Explorer, Chrome, and Firefox.",,,
Points,1,,,
Difficulty,1,,,
TRUE,0,"Finder is like File Explorer. It is used to manage the file system. Internet Explorer, Chrome, and Firefox are all browsers designed to display web pages.",,
FALSE,100,"",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True of False: Files can contain folders.",,,
Points,1,,,
Difficulty,1,,,
TRUE,0,"Folders contain things. But files cannot contain a folder. That would be like saying a piece of paper can hold a file folder. It just doesn't work.",,
FALSE,100,"",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Folder names do not have an extension (ie .doc or .html) Why?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"File extensions are optional on both files and folders. They are to help us remember things. The computer just ignores them.",,"Extensions are very useful to the computer, but just so it knows what to do with a file. "
Option,0.00,"If you put an extension on a folder you might end up with a double extension because the real extension on folder names is always hidden from view.",,"Files may have the extension hidden but folders have no extension, hidden or otherwise."
Option,100.00,"Folders only hold things. They don't do anything else, so the operating system doesn't need to have an indication of what program to use when a user double clicks on a folder. It simply opens to show what is inside.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"What type of program will most likely run if a user double-clicks on a file with the extension .ppt or .pptx?",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"PowerPoint",,
Option,0.00,"Microsoft Word",,
Option,0.00,"Microsoft Excel",,
Option,0.00,"Google Chrome",,
Option,0.00,"File Manager",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"What type of program will most likely run if a user double-clicks on a file with the extension .doc or docx?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"PowerPoint",,
Option,100.00,"Microsoft Word",,
Option,0.00,"Microsoft Excel",,
Option,0.00,"Google Chrome",,
Option,0.00,"File Manager",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"What type of program will most likely run if a user double-clicks on a file with the extension .xls?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"PowerPoint",,
Option,0.00,"Microsoft Word",,
Option,100.00,"Microsoft Excel",,
Option,0.00,"Google Chrome",,
Option,0.00,"File Manager",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: You can change your system so it opens a specific program based on the extension. For example, you can change Windows so it will automatically open Google Chrome instead of Internet Explorer (IE).",,,
Points,1,,,
Difficulty,1,,,
TRUE,100,"",,
FALSE,0,"",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: A shortcut in Windows is the same thing as an alias on the Mac.",,,
Points,1,,,
Difficulty,1,,,
TRUE,100,"",,
FALSE,0,"",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: You can rename a shortcut to anything you want without affecting the original file.",,,
Points,1,,,
Difficulty,1,,,
TRUE,100,"",,
FALSE,0,"A shortcut or alias is a pointer to the actual file. You can think of it as a nickname. If you change you nickname your birth name isn't affected.",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: If you delete a shortcut on your system the original file will be deleted as well. So be careful!",,,
Points,1,,,
Difficulty,1,,,
TRUE,0,"A shortcut or alias is a pointer to the actual file. If you delete the shortcut the original file will not be affected.",,
FALSE,100,"",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"You can tell an icon is a shortcut by _______________.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"Looking at the name of the file",,
Option,0.00,"Looking for a small arrow in the upper right-hand corner of the file icon",,
