NewQuestion,MC,,,
Title,,,,
QuestionText,"Cascading Style Sheet rules are comprised of:",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"Selectors and Declarations",,
Option,0.00,"Properties and Declarations",,
Option,0.00,"Selectors and Attributes",,
Option,0.00,"Elements and Attributes",,
Feedback,"Selectors are like h1 and the declarations are made up of properties and values such as color:  blue;",,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"When CSS is coded in the body of the web page as an attribute of a single HTML tag it is called ________.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"embedded",,
Option,100.00,"in-line",,
Option,0.00,"external",,
Option,0.00,"imported",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the items below that can be used as a CSS Selector.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"an HTML element",,
Option,0.00,"a class name",,
Option,0.00,"an id name",,
Option,100.00,"All of these answers are valid",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which of the following will configure all the span elements with red (#FF0000) text color?",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"span { color: #FF0000; }",,
Option,0.00,"#span { color: #FF0000; }",,
Option,0.00,".span { color: #FF0000; }",,
Option,0.00,"<span style=”color: #FF0000;”>",,
Option,0.00,"All of these answers are valid",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"To apply a style to one or more of elements on a web page, configure a CSS _____________.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"group",,
Option,0.00,"id",,
Option,100.00,"class",,
Option,0.00,"attribute",,
Feedback,"A class "." can be used multiple times on a page. (Think as a class as a group of similar things like a "class of people"). An id "#" is unique to the page and should only be used for one object on the page.",,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"An External Style Sheet normally uses the _____ file extension.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,".ess",,
Option,100.00,".css",,
Option,0.00,".html",,
Option,0.00,"No file extension is necessary",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Use the ______ element to associate a web page with an external style sheet.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"target",,
Option,0.00,"a",,
Option,0.00,"include ",,
Option,100.00,"link",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the correct code below that uses CSS to configure a background color of #eaeaea for a web page.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"body {background-color:#eaeaea; }",,
Option,0.00,"body {background-color:#eaeaea} ;",," The semi-colon has to be inside the closed curly brace."
Option,0.00,"document {background-page:#eaeaea; }",,
Option,0.00,"body {bgcolor:#eaeaea; }",,
Option,0.00,"None of these answers are valid.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the code below that configures a class called “offer” with blue text using CSS.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"offer { color: blue; }",,
Option,100.00,".offer { color: blue; }",,
Option,0.00,".offer { text: blue; }",,
Option,0.00,"#offer { color: blue; }",,
Feedback,"class selectors use a period "."  id selectors use a hash mark "#"",,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Use the ______ element to create areas on a web page that are embedded within block formatting elements such as the <h1> or <p> elements.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"div",,
Option,100.00,"span",,
Option,0.00,"both a and b",,
Option,0.00,"neither a nor b",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Use the _____ element to add embedded styles on a web page.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"link",,
Option,100.00,"style",,
Option,0.00,"embed",,
Option,0.00,"css",,
Option,0.00,"All of these answers are valid",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Use the ______ element to create a block area or section on a web page that will be separate from other items.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"div",,
Option,0.00,"strong",,
Option,0.00," h1",,
Option,0.00,"small",,
Feedback,"div is used to mark out a block. span is used to mark out a section of the page that is in-line and does not form a separate block.",,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"CSS was first approved as a standard by the W3C in ______.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"1996 - five years after the Web was created",,
Option,0.00,"2002 - twelve years after the Web was created",,
Option,0.00,"1992 - two years after the Web was created",,
Option,0.00,"None of these answers are valid",,
NewQuestion,MC,,,
Title,,,,
QuestionText," Which of the following is the CSS property used to set the background color? ",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"a.bgcolor:",,
Option,100.00,"b.background-color:",,
Option,0.00,"c.color:",,
Option,0.00,"d.None of these answers are valid",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which CSS property can have multiple values?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"bgcolor:",,
Option,0.00,"background-color:",,
Option,100.00,"background:",,
Option,0.00,"color:",,
Option,0.00,"None of these answers are valid",,
Feedback,"background: can include a color code, a url( ) image, no-repeat, repeat-x, or repeat-y. It is a combination of several individual properties.",,,
NewQuestion,MC,,,
Title,,,,
QuestionText," Which of the following is the CSS property used to set the text color? ",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"a.bgcolor",,
Option,0.00,"b.background-color",,
Option,100.00,"c.color",,
Option,0.00,"d.text",,
Option,0.00,"e.None of these answers are valid",,
NewQuestion,MC,,,
Title,,,,
QuestionText," According to the CSS rules of precedence, ______ styles override ________ styles. ",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"external, embedded ",,
Option,0.00,"embedded, in-line ",,
Option,100.00,"in-line, external ",,
Option,0.00,"external, in-line",,
Feedback,"Think general to specific:  external --> embedded --> in-line",,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which of the following is a CSS selector that will configure the anchor elements within the nav id.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"#nav a",,
Option,0.00,".nav a",,
Option,0.00,"#nav anchor",,
Option,0.00,"anchor .nav",,
Feedback,"first use the outer selector, in this case the id #nav and then use the the inner selector, in this case a hyperlink.",,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"To apply a style to exactly one element on a web page, configure a CSS _____________.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"group",,
Option,100.00,"id",,
Option,0.00,"class",,
Option,0.00,"None of these answers are valid",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Where do you place the code to associate a web page with an external style sheet?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"in the external style sheet",,
Option,0.00,"in the DOCTYPE of the web page document",,
Option,0.00,"in the body section of the web page document",,
Option,100.00,"in the head section of the web page document",,
Option,0.00,"All of these answers are valid",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which of the following is a CSS selector that will configure the paragraph elements within the footer element.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"p footer",,
Option,100.00,"footer p",,
Option,0.00,"#footer p",,
Option,0.00,".footer p",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which of the following symbols terminates a style declaration?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,": colon",,
Option,100.00,"; semi-colon",,
Option,0.00,"! exclamation mark",,
Option,0.00,"# hash mark",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which of the following is an HTML attribute used to add in-line styles to a tag?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"link",,
Option,100.00,"style",,
Option,0.00,"id",,
Option,0.00,"type",,
Option,0.00,"All of these answers are valid",,
Feedback,"An example would be: <p style="color:blue; border:1px solid blue;">",,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which of the following is correct CSS syntax?",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"p { color: #000000; }",,
Option,0.00,"p { color=#000000; }",,
Option,0.00,"p : color #000000;",,
Option,0.00,"p { color;#000000; }",,
Option,0.00,"None of these are correct.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which type of selector is specified by placing a # symbol in front of the selector name?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"tag",,
Option,0.00,"first",,
Option,0.00,"class",,
Option,100.00,"id",,
Option,0.00,"All of these answers are valid",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which type of selector is specified by placing a . symbol in front of the selector name?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"tag",,
Option,0.00,"first",,
Option,100.00,"class",,
Option,0.00,"id",,
Option,0.00,"None of these answers are valid.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"How would you style only the img elements inside of the element: <div class="bio">",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"img .bio { border:1px solid #000080; margin:10px; }",," The img is inside of the class so it would come afterwards in the selector:  .bio img"
