NewQuestion,MC,,,
Title,,,,
QuestionText,Select the components of a search engine.,,,
Points,1,,,
Difficulty,1,,,
Option,0,robot,,
Option,0,database,,
Option,0,search form,,
Option,100,All of these are used by search engines.,,
NewQuestion,MC,,,
Title,,,,
QuestionText,Select the true statements about meta tags.,,,
Points,1,,,
Difficulty,1,,,
Option,0,They may be placed anywhere in the web page.,,
Option,100,They may be used by search engines to index a web page.,,
Option,0,They must be present or the page will not be indexed.,,
Option,0,The keyword meta tag is the most important for SEO.,,
NewQuestion,MC,,,
Title,,,,
QuestionText,A rating determined by a search engine based on the number of links to a particular site and the qualities of those links is called ________.,,,
Points,1,,,
Difficulty,1,,,
Option,0,link checking,,
Option,0,reciprocal linking,,
Option,100,link popularity,,
Option,0,None of these.,,
NewQuestion,MC,,,
Title,,,,
QuestionText,The term _________________ refers to configuring a web page is optimally ranked by search engines,,,
Points,1,,,
Difficulty,1,,,
Option,100,search engine optimization (SEO),,
Option,0,social media optimization (SMO),,
Option,0,Web analytics (WA),,
Option,0,search engine results page (SER),,
NewQuestion,MC,,,
Title,,,,
QuestionText,FTP is a _________ that is utilized to copy and manage files over the Internet.,,,
Points,1,,,
Difficulty,1,,,
Option,0,domain,,
Option,100,protocol,,
Option,0,hosting,,
Option,0,upload,,
NewQuestion,MC,,,
Title,,,,
QuestionText,Select the method that most people use to find websites.,,,
Points,1,,,
Difficulty,1,,,
Option,0,banner ads,,
Option,0,hearing about websites on television,,
Option,100,search engines,,
Option,0,RSS feeds,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The design of products and environments to be usable by all people, to the greatest extent possible, without the need for adaptation or specialized design is called:",,,
Points,1,,,
Difficulty,1,,,
Option,0,accessibility,,"Accessibility means the content of the page is available to everyone. For example, people who are blind or deaf."
Option,0,usability,,Usability means that the page is easy to navigate and makes sense to the user.
Option,100,universal design,,Correct! Universal design covers all of these factors.
Option,0,assistive technology,,An example of assistive technology is having screen reader software like JAWS read the screen for person who is blind.
NewQuestion,MC,,,
Title,,,,
QuestionText,"A _____________ is a word, phrase, symbol, or design that identifies and distinguishes the source of the goods of one party from those of others.",,,
Points,1,,,
Difficulty,1,,,
Option,0,copyright,,Copyright is ownership a person has for a work of art or writing or photos.
Option,100,trademark,,
Option,0,domain name,,
Option,0,Web host,,
NewQuestion,MC,,,
Title,,,,
QuestionText,______________ is appropriate for the initial web presence of an organization:,,,
Points,1,,,
Difficulty,1,,,
Option,100,Virtual Hosting,,
Option,0,Free Web Hosting,,
Option,0,Dedicated Hosting,,Dedicated hosting is much more expensive than virtual hosting.
Option,0,Co-located Hosting,,
NewQuestion,MC,,,
Title,,,,
QuestionText,___________ is appropriate for a large to enterprise website.,,,
Points,1,,,
Difficulty,1,,,
Option,0,Virtual Hosting,,
Option,0,Free Web Hosting,,
Option,100,Dedicated Hosting,,
Option,0,None of these is appropriate for an enterprise site.,,
NewQuestion,MC,,,
Title,,,,
QuestionText,The type of testing that observes how actual web page visitors use a website is called:,,,
Points,1,,,
Difficulty,1,,,
Option,0,visitor testing,,
Option,100,usability testing,,
Option,0,beta testing,,
Option,0,client acceptance testing,,
NewQuestion,MC,,,
Title,,,,
QuestionText,Which are the four principles of the Web Content Accessibility Guidelines?,,,
Points,1,,,
Difficulty,1,,,
Option,0,"contrast, repetition, alignment, proximity",,These are design principles used to make a professional looking page.
Option,100,"perceivable, operable, understandable, robust",,
Option,0,"accessible, readable, maintainable, reliable",,
Option,0,"hierarchical, linear, random, sequential",,These are the different types of file or menu layout schemes.
NewQuestion,MC,,,
Title,,,,
QuestionText,Select the true statement from the list below.,,,
Points,1,,,
Difficulty,1,,,
Option,100,No single testing tool can automatically test for all web standards.,,
Option,0,Include as many people as possible when you conduct usability tests.,,
Option,0,Search engines listings are effective immediately after submission.,,
Option,0,None of these statements are true,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Before selecting a web host provider, it is a good idea to.",,,
Points,1,,,
Difficulty,1,,,
Option,0,Try to contact their technical support,,
Option,0,Make sure they are the cheapest possible,,
Option,100,Carefully read their service level agreement,,
Option,0,All of these are of equal importance.,,
NewQuestion,MC,,,
Title,,,,
QuestionText,A _______________ involves the exclusive use of a rented computer and connection to the Internet that is housed in the web hosting company's premises. ,,,
Points,1,,,
Difficulty,1,,,
Option,0,virtual hosting agreement,,
Option,100,dedicated Web server,,
Option,0,co-located Web server,,
Option,0,private registration,,
NewQuestion,TF,,,
Title,,,,
QuestionText,True or False: It is recommended to register multiple domain names for a website.,,,
Points,1,,,
Difficulty,1,,,
TRUE,100,,,
FALSE,0,,,
NewQuestion,TF,,,
Title,,,,
QuestionText,True or False: There is no reason to consider the operating system of the web server when selecting a Web host.,,,
Points,1,,,
Difficulty,1,,,
TRUE,0,,,
FALSE,100,,,
NewQuestion,TF,,,
Title,,,,
QuestionText,True or False: Commercial businesses should register a domain name with a .org extension.,,,
Points,1,,,
Difficulty,1,,,
TRUE,0,,,
FALSE,100,,,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: A database is a collection of information organized so that its contents can easily be accessed, managed, and updated.",,,
Points,1,,,
Difficulty,1,,,
TRUE,100,,,
FALSE,0,,,
NewQuestion,MC,,,
Title,,,,
QuestionText,Meta tags must be located in the ________ section of a web page:,,,
Points,1,,,
Difficulty,1,,,
Option,0,<html>,,
Option,100,<head>,,
Option,0,<body>,,
Option,0,<title>,,
Option,0,None of these. They are stored in an external file.,,
NewQuestion,MC,,,
Title,,,,
QuestionText,The correct basic pattern for a meta element is ______________.,,,
Points,1,,,
Difficulty,1,,,
Option,0,"<meta id=' ' />",,
Option,0,"<meta class=' ' >",,
Option,0,"<meta type=' '>",,
Option,100,"<meta name=' '/>",,
Option,0," <meta name=' '>",,
Option,0,None of these is a valid pattern.,,
NewQuestion,TF,,,
Title,,,,
QuestionText,True or False: Meta tags only need to be included on the home page (index.html).,,,
Points,1,,,
Difficulty,1,,,
TRUE,0,,,
FALSE,100,,,
NewQuestion,MC,,,
Title,,,,
QuestionText,The information in meta tags are used by ____________.,,,
Points,1,,,
Difficulty,1,,,
Option,0,the end user,,
Option,0,the client,,
Option,100,the search engines,,
Option,0,the browser,,
NewQuestion,MC,,,
Title,,,,
QuestionText,Best practices suggest to ____________________.,,,
Points,1,,,
Difficulty,1,,,
Option,100,include meta tags on a template so they are always included when new pages are built,,
Option,0,type out the meta tags from scratch each time a new page is built,,
Option,0,"put the <meta name=keyword"" /> meta tag first because it is always the most important metatag""",,
Option,0,All of these are best practices and should be followed consistently when building a site.,,
NewQuestion,MC,,,
Title,,,,
QuestionText,For modern search engines the most important meta tag on a web page is _____________.,,,
Points,1,,,
Difficulty,1,,,
Option,0,author,,author is a personal metatag. It is not included in the HTML 5 standard.
Option,0,refresh,,refresh automatically transfers the user to another page after so many seconds. 
Option,0,keyword,,The keyword metatag is obsolete and is ignored by all the modern search engines.
Option,100,description,,Correct!
Option,0,copyright,,copyright is a personal metatag. It is not included in the HTML 5 standard.
Option,0,robot,,"Robot is used to tell the search engines if they should include the page or follow any of its links. Important? Yes. But, not the most important."
NewQuestion,MC,,,
Title,,,,
QuestionText,Spelling matters. I've designed over five web _______ and am getting more clients every month. (Which is the correct spelling?),,,
Points,1,,,
Difficulty,1,,,
Option,0,sights,,Sight is vision. I can see. I use my eyesight.
Option,100,sites,,Correct! Site is a place. A web site or the site of the murder.
Option,0,cites,,Citations are references to a quote or a traffic ticket. He cited the quotation to Abraham Lincoln. The officer issued a traffic citation. He cited me. He gave me a ticket.
NewQuestion,MC,,,
Title,,,,
QuestionText,What meta tag do the search engines use to determine what text to put in the paragraph describing the page?,,,
Points,1,,,
Difficulty,1,,,
Option,0,descr,,descr is not a valid name for a metatag. You are probably thinking of description.
Option,0,refresh,,refresh automatically transfers the user to another page after so many seconds. 
Option,0,summary,,summary is not a valid name for a metatag. You are probably thinking of description.
Option,100,description,,Correct!
Option,0,copyright,,copyright is a personal metatag. It is not included in the HTML 5 standard.
Option,0,alt,,alt is not a valid name for a metatag. 
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which of the following is INCORRECT for this meta tag: meta name=robots"" content=""______________"" """,,,
Points,1,,,
Difficulty,1,,,
Option,100,"no index, no follow",,
Option,0,"NoIndex, NoFollow",,
Option,0,"NOINDEX, NOFOLLOW",,
Option,0,"index, follow",,
Option,0,"INDEX, FOLLOW",,
Option,0,"noindex, follow",,
Option,0,"follow, noindex",,
Feedback,"UPPER/lower case don't matter with these two values. However, spaces are not allowed.",,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"What is the purpose of noindex option for the meta name=robots""  metatag?""",,,
Points,1,,,
Difficulty,1,,,
Option,0,Tell the search engine robot programs not to share this information with other search engines.,,
Option,0,Tell the search engine robot programs not to follow any of the hyperlinks on the page.,,
Option,0,Allow the search engine robot to catalog the site but not display the information in its search results page.,,
Option,100,Keep the search engines from indexing or listing this page. Just ignore it.,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"What is the purpose of nofollow option for the meta name=robots"" metatag?""",,,
Points,1,,,
Difficulty,1,,,
