NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the statement below that is true about forms.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"	a. The form element is optional",,
Option,0.00,"It is recommended to use mailto: as the action on a form since that is the easiest for the web developer",,
Option,100.00,"A form can be used to pass information to a program or script on the web server",,
Option,0.00,"none of the above is true",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the HTML code to configure a button that, when clicked, will automatically reset form fields to their default values.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"<input type="reset">",,
Option,0.00,"<input type="submit" value="Reset">",,
Option,0.00,"<reset>",,
Option,0.00,"<form action="reset">",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Use the _____ attribute on the form element to specify the name and location of the script that will process the form control values.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"action",,
Option,0.00,"process",,
Option,0.00,"method",,
Option,0.00,"none of the above",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the form control below that does not use the input element.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"text box",,
Option,100.00,"select list",,
Option,0.00,"checkbox",,
Option,0.00,"radio button",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the HTML tag below that configures a textbox named "email" that is 40 characters wide.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"<input type="text" id="email" width="40" >",,
Option,100.00,"<input type="text" name="email" size="40" >",,
Option,0.00,"<input type="text" name="email" space="40" >",,
Option,0.00,"<input type="text" width="40" >",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the form control below that would be most appropriate to accept free-form comments about your website.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"select list",,
Option,0.00,"text box",,
Option,100.00,"scrolling text box",,
Option,0.00,"None of the above",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"You would like to conduct a survey and ask your web page visitors to indicate the computer operating systems that they use. Each visitor could use more than one computer operating system. Select the form control that is best to use for this purpose.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"check box",,
Option,0.00,"radio button",,
Option,0.00,"text box",,
Option,0.00,"scrolling text box",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"An order form contains an area for web visitors to select their state or province. You need to limit the amount of space on the form that is used for this feature. Select the form control that is best to use for this purpose.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"check box",,
Option,0.00,"radio button",,
Option,0.00,"text box",,
Option,100.00,"select list",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Choose the HTML tag below that would configure a scrolling text box with the name "feedback", 3 rows, and 60 characters.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"<textarea name="feedback" width="60" rows="3"></textarea>",,
Option,0.00,"<input type="textarea" name="feedback" size="60" rows="3" >",,
Option,100.00,"<textarea name="feedback" rows="3" cols="60"></textarea>",,
Option,0.00,"none of the above",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the HTML below that would associate a label displaying the text “Phone” with the text box named customerPhone.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"Phone: <input type="textbox" name="customerPhone">",,
Option,100.00,"<label>Phone: <input type="text" name="customerPhone"></label>",,
Option,0.00,"<label for="Phone">Phone: </label><input type="text" name="Phone" id="customerPhone">",,
Option,0.00,"<label>Phone:</label> <input type="text" name="customerPhone">",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the attribute used to limit the number of characters that a text box will accept.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"size",,
Option,100.00,"maxlength",,
Option,0.00,"limit",,
Option,0.00,"columns",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the element used to visually group a number of form controls.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"group",,
Option,0.00,"fieldset",,
Option,100.00,"form",,
Option,0.00,"label",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the attribute used to configure the width of a text box as displayed in a browser.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"size",,
Option,0.00,"maxsize",,
Option,0.00,"limit",,
Option,0.00,"columns",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the type of form control that "disguises" the characters that are typed.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"text box",,
Option,100.00,"password box",,
Option,0.00,"encrypt box",,
Option,0.00,"hidden box",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The _________________ is a standard method or protocol for web pages to request special processing on the web server, such as database queries, sending e-mails, or handling form data.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"fieldset",,
Option,100.00,"Common Gateway Interface (CGI)",,
Option,0.00,"JavaScript",,
Option,0.00,"MIME",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"What attributes are valid for the select element?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"name, id, multiple",,
Option,0.00,"name, id, multiple, rows, cols",,
Option,100.00,"name, id, multiple, selected",,
Option,0.00,"name, id, multiple, checked",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"When configuring a radio button form control, the value of the ______ of each radio button must be the same",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"name",,
Option,0.00,"id",,
Option,0.00,"value",,
Option,0.00,"none of the above",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the true statement from the choices below.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"A scrolling text box is created using an input element with type="textarea".",,
Option,0.00,"A text box is created using an input element with type="box". ",,
Option,0.00,"A select list is created using select and input elements.",,
Option,100.00,"A scrolling text box is created using a textarea element.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The purpose of the __________ element is to configure a label for a fieldset element.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"label ",,
Option,0.00,"p ",,
Option,0.00,"form",,
Option,100.00,"legend",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the value of the type attribute that configures an HTML5 spinner control.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"spinner",,
Option,0.00,"range",,
Option,100.00,"number",,
Option,0.00,"input",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the value of the type attribute that configures an HTML5 slider control.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"spinner",,
Option,100.00,"range",,
Option,0.00,"number",,
Option,0.00,"input",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the true statement from those listed below.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"The input element with type=”email” will cause all browsers to edit for a valid e-mail address.",,
Option,0.00,"The required attribute will cause all browsers to verify that the user has entered information into the form control.",,
Option,0.00,"The input element with type=”date” will cause all browsers to display a calendar control",,
Option,100.00,"The input element with type=”email” will cause browsers that do not support the attribute to display a text box.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The HTML5 _____________ form control provides the user with a selection of choices along with an option to enter information.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"select list",,
Option,0.00,"check box",,
Option,100.00,"datalist",,
Option,0.00,"slider",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Choose the item below that is not a valid value for the input element’s type attribute.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00," radio",,
Option,0.00," url",,
Option,100.00,"e-mail",,
Option,0.00,"text",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which of the following form conrols would be appropriate for an area that your visitors can use to type in comments about your website?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"text box",,"A text box only allows a short phrase."
Option,0.00,"select list",,"A drop down list allows users to choose from a list but doesn't allow them to add their own feedback."
Option,0.00,"radio button",,"A radio button allows the user to pick one choice from a list but doesn't allow them to add their own input."
Option,100.00,"scrolling text box",,"Correct. This is also called a text area."
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which attribute of the <form> tag is used to tell the browser what page to request as soon as the user submits the form?",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"action",,"Correct. The action=" " attribute tells the browser what page to jump to when the submit button is pressed."
Option,0.00,"process",,"This is not a valid attribute for the <form> tag"
Option,0.00,"method",,"The method=" " attribute describes how the values from the form will be transmitted to the server. The value of this attribute is either GET (tack the values on the end of the URL of the request) or POST (pack the values up in a 'suitcase' and send them to the server along with the action URL."
Option,0.00,"id",,"The id=" " attribute is the unique name for this control."
NewQuestion,MC,,,
Title,,,,
QuestionText,"Forms contain various types of ________ such as text boxes and buttons, that accept information from a web page visitor.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"hidden elements",,
Option,0.00,"labels",,
Option,100.00,"form controls",,
Option,0.00,"legends",,
NewQuestion,MC,,,
Title,,,,
